"BOOKING ID","BOOKING DATE","ORIGIN","BOOKED OFFICE","DESTINATION","DIRECTION","AIRPORTS","GATEWAYS","TRIP TYPE","ITINERARY TYPE","VALIDATING CARRIER","MARKETING CARRIERS","OPERATING CARRIERS","DEPARTURE DATE","ARRIVAL DATE","BOOKING CLASS","FARE BASIS","ADT","CHD"
"97407401","2018/4/4","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","one-way","BF","BF","BF","2018/6/17","2018/6/17 20:50:00","H","HLNCRTUS","420","0"
"97429456","2018/4/6","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","round","BF","BF","BF","2018/6/13","2018/6/13 20:50:00","T","TLNCRTUS","170","0"
"97440132","2018/4/6","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","round","BF","BF","BF","2019/1/4","2019/1/4 20:25:00","T","TLNCRTUS","340","64"
"97446308","2018/4/7","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","round","BF","BF","BF","2019/1/6","2019/1/6 20:25:00","T","TLNCRTUS","170","0"
"97447132","2018/4/7","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","round","BF","BF","BF","2018/8/29","2018/8/29 20:50:00","T","TLNCRTUS","85","0"
"97448987","2018/4/7","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","round","BF","BF","BF","2018/12/30","2018/12/30 20:25:00","T","TLNCRTUS","170","0"
"97449845","2018/4/7","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","round","BF","BF","BF","2018/12/30","2018/12/30 20:25:00","T","TLNCRTUS","170","0"
"97450005","2018/4/7","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","round","BF","BF","BF","2019/1/4","2019/1/4 20:25:00","T","TLNCRTUS","85","0"
"97450654","2018/4/7","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","round","BF","BF","BF","2018/6/13","2018/6/13 20:50:00","T","TLNCRTUS","170","0"
"97457940","2018/4/8","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","round","BF","BF","BF","2018/9/12","2018/9/12 20:50:00","T","TLNCRTUS","170","0"
